group,indicator,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
pi_zzbatmos,CPU 2013 Usage,0,4397.36,10364.6,1765.66,782.045,1209.84,144.622,236.86,6806.49,95709.8,35128.6,40573.5,83783.3,79238.9,14384.3,4339.33,2963.61,4292.55,3369.07,7908.91,3511.43,3591.91,5009.03,5550.14,2560.33,8866.77,6819.63,1958.33,36715.5,975.088,36522.7,789.94,10589.7,778.216
pi_ataca,CPU 2013 Usage,0,10176.5,41160.7,64267,35955.9,74509.5,52501.5,12643.9,3211.64,27329.4,26103.5,90315.7,3275.02,23510.4,200.413,6257.36,96314.7,31607.7,35903.1,7780.09,21298.6,332.338,16.8,865.44,0,14.0889,0,580.867,0.622222,37026.3,966.858,998.196,1613.36,1280.62
total,CPU 2013 Usage,40.07,15248.00724,81911.62721,105440.1724,90332.67977,102023.6826,136000.2679,80492.82085,63274.63368,185083.8452,118116.2143,139581.7411,102080.3809,116262.1174,34327.21499,17550.99054,111562.101,114661.6377,97798.57577,99278.50753,57497.25768,16350.16752,30262.16631,41502.32832,30534.38462,27603.65151,57078.73678,27339.70551,53796.92873,81191.10327,61176.33112,32086.42174,60288.02027,46131.47992
pi_roma,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000277778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_jsleem1,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_wolson,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277778,0
pi_jkestner,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00472222,0,0,0,0
pi_martins,CPU 2018 Usage,0,0,0,0,0,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_squire,CPU 2018 Usage,0,0,0.000833333,0.0113889,0,0.0111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_meyer,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_joshi,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516667,0,0,0,0,0.0119444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_mkann,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_cmat,CPU 2018 Usage,0,0,0.00861111,0,0,0,0,0,0,0,0,0,0.0922222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_jameslo,CPU 2018 Usage,0,0,0,0,0,0,0.00888889,0.00388889,0.0025,0,0,0,0,0,0,0,0.196667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_burnsm,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0.262222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_tinoosh,CPU 2018 Usage,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_jfoulds,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0.691111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_amita,CPU 2018 Usage,0,0,0,0,0,0,0,0,0.596111,0,0,0,0,0,0,0,0,0,0.3425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_sguimond,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,2.22222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_jleach,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00917,0,0,0
pi_adash2,CPU 2018 Usage,0,0,0,0,8.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_abiswas,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03722,1.81333,0,0,0,0,0,0,0,0,0,0
pi_tjo,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.859722,9.01472,0,0.0338889,0,0,0,0,0.0336111,0.723611,0,0,0.0477778
pi_bailey,CPU 2018 Usage,0,0,0,0.0180556,0.00555556,0,0.0358333,0,0.178333,0.668889,0,12.4447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_psanjay,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00472,0,19.65,0,0,0,0,0,0,0,0
pi_ataca,CPU 2018 Usage,0,22.46,0,8.12111,0,0,3.30444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pi_gszeto,CPU 2018 Usage,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9339,0,0,0,0,0,0,0,0,0,0,4.01222,0,0,0,0,0
hpcreu,CPU 2018 Usage,0,0.0352778,0,0,0,0,0,0,7.295,91.5,0,0.0119444,0,0,0.00388889,0,0,0,0,0,0,1.36944,0,0,0.0144444,0,0,0,0,0,0,0,0,0
pi_xxu,CPU 2018 Usage,0,0,0,31.7836,35.8683,26.2614,18.6917,0,0,0,0,0,0.0416667,0.345,0,0,0,0,0,0,0.168889,0,0,0,0,0,0,0,0.113056,0,0,0,0,0
pi_mjkyoung,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76917,230.17
pi_doit,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01361,0,0,0,0,0,0,0,0,0,0.0708333,0,0,0,0,0,0,0,315.546
pi_erill,CPU 2018 Usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555556,0,12.8014,334.56
